"gbif_key";"nombre_com";"nombre_cie";"arboles"
"";"Acacia robinia";"Caesalpinia peltophoroides";25344
"2735935";"Palma areca";"Dypsis lutescens";18981
"3837155";"Limon swinglea, Swinglea";"Swinglea glutinosa";17166
"5361932";"Ficus benjamina, Caucho benjamin";"Ficus benjamina";12075
"3190638";"Mango";"Mangifera indica";11770
"";"Ebano, Ebano costeno";"Caesalpinia ebano";9566
"3189394";"Almendro";"Terminalia catappa";9510
"2962831";"Chiminango";"Pithecellobium dulce";9469
"3172537";"Guayacan rosado";"Tabebuia rosea";9301
"2970418";"Leucaena";"Leucaena leucocephala";7313
"2738434";"Palma manila, Palma navidad";"Adonidia merrillii";6667
"2733755";"Palma real de Cuba";"Roystonea regia";6524
"";"Saman, Genizaro";"Albizia saman";6506
"3172574";"Tulipan africano";"Spathodea campanulata";4805
"5407273";"Guanabano";"Annona muricata";4062
"2684855";"Pino tuya, Pino libro";"Platycladus orientalis";3875
"2733738";"Palma botella, Palma imperial, Mapora";"Roystonea oleracea";3656
"3152195";"Guacimo";"Guazuma ulmifolia";3446
"3034046";"Aguacate";"Persea americana";3346
"3189990";"Mamoncillo";"Melicoccus bijugatus";3223
"";"Araucaria";"Araucaria excelsa";3148
"6401337";"Guayacan amarillo, Chicala";"Handroanthus chrysanthus";3025
"5304583";"Dracaena roja, Tronco de la felicidad";"Dracaena fragrans";2966
"7298785";"Gualanday";"Jacaranda caucana";2964
"3169652";"Cojon de cabrito, Pepa de cabra, Enebro";"Cascabela thevetia";2809
"";"Limon";"Citrus lemon";2553
"3190158";"Naranjo";"Citrus aurantium";2474
"2946600";"Sauce Costeno, Bohio";"Clitoria fairchildiana";2276
"2956905";"Acacia amarilla, Acacia siamea";"Senna siamea";2225
"5420380";"Guayabo";"Psidium guajava";2050
"8190743";"Cerezo, Mirto, Azahar";"Murraya paniculata";1994
"2731882";"Palma africana";"Elaeis guineensis";1966
"2966693";"Ebano";"Geoffroea spinosa";1963
"2735117";"Palma de coco";"Cocos nucifera";1956
"3152559";"Resucitado";"Hibiscus rosa-sinensis";1929
"2956176";"Acacia roja, Flamboyan";"Delonix regia";1778
"5407583";"Cadmio, Cananga";"Cananga odorata";1734
"5339879";"Noni";"Morinda citrifolia";1732
"3038546";"Cheflera";"Schefflera actinophylla";1574
"5415081";"Totumo, Mate, Calabazo";"Crescentia cujete";1513
"3190172";"Mandarina";"Citrus reticulata";1490
"2957438";"Floramarillo, Velero, Vainillo";"Senna spectabilis";1482
"2683880";"Cipres abanico, Pino libro";"Chamaecyparis pisifera";1461
"3173954";"Arrayan cerezo";"Myrcia selloi";1379
"3172614";"Catalpa, Crispeta";"Catalpa longissima";1336
"5384862";"Veranera";"Bougainvillea glabra";1284
"5357108";"Chorro de oro, Lluvia de oro";"Cassia fistula";1275
"5406697";"Ceiba, Ceiba bruja, Ceiba de lana, Bonga";"Ceiba pentandra";1147
"3189955";"Seso, Bien me sabe";"Blighia sapida";1101
"8017915";"Chambimbe, Jaboncillo";"Sapindus saponaria";1082
"2775707";"Palma de yuca";"Yucca filifera";1048
"3593724";"Palma de Madagascar, Palma de anillos";"Dypsis madagascariensis";973
"5294627";"Palma abanico, Palma de Fiji";"Pritchardia pacifica";959
"5294589";"Palma Washingtonia";"Washingtonia filifera";925
"3184509";"Pera de Malaca";"Syzygium malaccense";886
"2958715";"Clavellino, Mariposa";"Caesalpinia pulcherrima";882
"";"Oiti";"Licania tomentosa";881
"5293153";"Palma Robeleni";"Phoenix roebelenii";850
"";"Guayacan carrapo";"Bulnesia carrapo";822
"";"Igua";"Albizia guachapele";804
"";"Castano";"Pachira insignes";786
"2981948";"Carbonero";"Calliandra pittieri";784
"3186096";"Aceituno, Malagueto";"Pimenta racemosa";780
"3188724";"Flor de la reina";"Lagerstroemia speciosa";749
"2953251";"Casco de vaca blanco";"Bauhinia variegata";746
"3169673";"Amancayo, Blanco, Azuceno";"Plumeria alba";742
"2873939";"Coca";"Erythroxylum coca";741
"2952775";"Acacia negra, Acacia ferruginea";"Peltophorum pterocarpum";703
"7263447";"Nacedero, Madre de agua";"Trichanthera gigantea";695
"2953871";"Casco de vaca";"Bauhinia purpurea";641
"5293840";"Palma Sancona";"Syagrus sancona";638
"";"Ficus variegado";"Ficus variegata";628
"3082562";"Bala de canon, Macaco,  Bola de Canon, Castano";"Couroupita guianensis";614
"2932913";"Francesina";"Brunfelsia uniflora";598
"5349755";"Cachimbo, Pisamo, Bucaro";"Erythrina poeppigiana";574
"7835333";"Caucho, Caucho de la India";"Ficus elastica";550
"3169756";"Habano, Azuceno, Habano rosado";"Nerium oleander";547
"2961150";"Orejero, Pinon de oreja";"Enterolobium cyclocarpum";537
"7720664";"Amargo, Palo blanco";"Simarouba amara";537
"4073534";"Cacao de monte, Sapotolongo, Castano silvestre, Zapote costeno";"Pachira speciosa";532
"3190500";"Trompillo, Bilibil, Cedro macho";"Guarea guidonia";530
"3986813";"Guayacan, Guayaco";"Guaiacum officinale";527
"2684046";"Cipres";"Cupressus lusitanica";514
"3183534";"Pomarroso";"Syzygium jambos";513
"8082978";"Matarraton";"Gliricidia sepium";513
"2925655";"Garvanzo, Duranta";"Duranta erecta";512
"3071476";"Croton ornamental, Croton sangregado";"Codiaeum variegatum";512
"3035778";"Millonaria, Crispa";"Polyscias scutellaria";482
"3152795";"Clemon, Algodon de arbol";"Thespesia populnea";450
"3614691";"Plumeria, Amapola blanca, amancayo, Ramo de Novia";"Plumeria pudica";435
"5407099";"Anon";"Annona squamosa";433
"7649215";"Nogal cafetero, Moho";"Cordia alliodora";406
"";"Dracena dereminsis";"Dracaena deremensis";398
"2928791";"Jazmin de noche, Caballero de la noche";"Cestrum nocturnum";383
"";"Arbol del pan";"Artocarpus communis";383
"5357677";"Guamo rabo de mico, Guamo churimo";"Inga edulis";381
"2892634";"Musaenda";"Mussaenda erythrophylla";381
"3190511";"Cedro rosado";"Cedrela odorata";379
"7269222";"Tachuelo";"Zanthoxylum rhoifolium";374
"3183840";"Aceituna, Maria Eugenia, Jambolan";"Syzygium cumini";362
"5349581";"Caraqueno, Eritrina variegada, Chocho ornamental, Cambulo";"Erythrina variegata";362
"3172325";"Urapan";"Fraxinus chinensis";359
"2738902";"Palma cola de pescado";"Caryota mitis";332
"3169675";"Amancayo rojo, Amancayo de flor roja";"Plumeria rubra";327
"";"Olivo negro, Ucar, Bucaro";"Bucida buceras";327
"2970445";"Arbol de la cruz, Ariza";"Brownea ariza";326
"3989500";"Guayacan de Manizales";"Lafoensia punicifolia";317
"";"Limon pajarito";"Citrus aurantifolia";301
"2683217";"Palma Sica, Palma de Sagu, Funeraria, Palma Funebre";"Cycas revoluta";298
"3173413";"Eucalipto ornamental, Calistemon";"Callistemon citrinus";287
"2977383";"Lomo de caiman";"Platypodium elegans";286
"5544303";"Caracoli";"Anacardium excelsum";285
"2950750";"Algarrobo, Algarrobo pecueca, Pecueco";"Hymenaea courbaril";284
"7262619";"Ficus Higueron, Ficus insipida, Caucho Insipida";"Ficus insipida";283
"2951846";"Chocho pequeno, Chocho rojo";"Adenanthera pavonina";278
"5420309";"Mirto dorado";"Luma apiculata";277
"2891641";"Carambolo";"Averrhoa carambola";265
"2874863";"Achiote, Achote";"Bixa orellana";262
"3172492";"Chirlobirlo, Floramarillo";"Tecoma stans";261
"3177028";"Eucaliptus grandis";"Eucalyptus grandis";260
"";"Amancayo tricolor";"Plumeria tricolor";260
"2982053";"Carbonero de flor roja";"Calliandra tweedii";260
"2732609";"Palma Alejandra";"Archontophoenix alexandrae";259
"5380015";"Ceiba de agua, Tronador, Mil pesos";"Hura crepitans";259
"3190484";"Caobo";"Swietenia macrophylla";256
"2888831";"Uva de playa";"Coccoloba uvifera";256
"5361899";"Caucho Lira, Ficus Lira";"Ficus lyrata";245
"";"Yuca arborea";"Yucca arborescens";244
"7445284";"Palma Datilera, Palma canaria";"Phoenix canariensis";244
"7931731";"Ciruelo";"Prunus domestica";240
"3073512";"Papayuelo, Paraguas chino";"Cnidoscolus aconitifolius";239
"2895593";"Jagua";"Genipa americana";239
"2736620";"Palma cola de zorro";"Wodyetia bifurcata";237
"";"Zapote";"Quararibea cordata";234
"8398507";"Ciruelo de perro, Ciruelo peruano";"Bunchosia armeniaca";233
"5341289";"No me olvides, Nogal, San joaquin";"Cordia sebestena";229
"7661971";"Guadua amarilla, Bambu amarillo, Bambu";"Bambusa vulgaris";229
"5361897";"Ficus ovalis, Caucho ovalis";"Ficus crassinervia";226
"2738914";"Palma mariposa, Plama vino de la India, Palma cola de pescado";"Caryota urens";219
"2732621";"Palma Payanesa";"Archontophoenix cunninghamiana";219
"4175764";"Aguacatillo, Laurel aguacatillo";"Persea caerulea";217
"2962824";"Chiminango rojo, Espina de mono";"Pithecellobium lanceolatum";208
"5357158";"Canafistulo";"Cassia grandis";208
"2957303";"Martin Galviz";"Senna reticulata";204
"";"Laurel blanco, Laurel Jigua, Laurel colorado y amarillo";"Cinnamomum triplinerve";203
"5415571";"Jaboticaba, Guabira";"Plinia cauliflora";203
"5407147";"Chirimoyo";"Annona cherimola";202
"5381567";"Grosello";"Phyllanthus acidus";199
"5415832";"Eucalipto de flor, Corcho";"Melaleuca quinquenervia";198
"7309596";"Guayacan azul, Taruma";"Vitex cymosa";198
"5421427";"Cerezo, Acerola, Huesito, Semeruco";"Malpighia emarginata";197
"5354954";"Capote rojo";"Machaerium capote";195
"5420358";"Guayabo Coronilla, Guayaba agria";"Psidium friedrichsthalianum";194
"3173930";"Arrayan";"Myrcia popayanensis";194
"";"Cedro macho";"Guarea sp";194
"5293897";"Palma de azucar";"Syagrus romanzoffiana";193
"3152205";"Cacao";"Theobroma cacao";190
"3752400";"Totocal, Limonacho";"Achatocarpus nigricans";187
"";"Gardenia, Malabar, Jazmin del Cabo";"Gardenia grandiflora";187
"2733941";"Palma Bismarckia";"Bismarckia nobilis";183
"5406679";"Camajon, Camajon duro, Panama, Suan";"Sterculia apetala";182
"2893927";"Jazmin naranjo";"Posoqueria longiflora";181
"2905493";"Coral rojo";"Ixora coccinea";180
"2957605";"Acacia china";"Senna mexicana";180
