verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
Terminalia catappa;Terminalia catappa L.;3189394;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Combretaceae;Terminalia;Terminalia catappa;Terminalia catappa;L.
Lacistema aggregatum;Lacistema aggregatum Fawc. & Rendle;7767242;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Lacistemataceae;Lacistema;Lacistema aggregatum;Lacistema aggregatum;Fawc. & Rendle
Oenocarpus bataua;Oenocarpus bataua Mart.;2735462;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Oenocarpus;Oenocarpus bataua;Oenocarpus bataua;Mart.
Schefflera arboricola;Schefflera arboricola (Hayata) Merr.;3038723;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Schefflera;Schefflera arboricola;Schefflera arboricola;(Hayata) Merr.
Miconia lingustrina;Miconia Ruiz & Pav.;3188558;HIGHERRANK;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Miconia;;Miconia;Ruiz & Pav.
Gossypium barbadense;Gossypium barbadense L.;3152666;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium barbadense;Gossypium barbadense;L.
Eugenia stipitata;Eugenia stipitata Mc Vaugh;10503673;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Eugenia stipitata;Eugenia stipitata;Mc Vaugh
Dracaena deremensis;Dracaena deremensis Engl.;5304602;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Dracaena;Dracaena fragrans;Dracaena deremensis;Engl.
Yucca arborescens;Yucca arborescens (Torr.) Trel.;2775596;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Yucca;Yucca brevifolia;Yucca arborescens;(Torr.) Trel.
Euphorbia pulcherrima;Euphorbia pulcherrima Willd. ex Klotzsch;3066465;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia pulcherrima;Euphorbia pulcherrima;Willd. ex Klotzsch
Cryosophila kalbreyeri;Cryosophila kalbreyeri (Dammer ex Burret) Dahlgren;2731944;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Cryosophila;Cryosophila kalbreyeri;Cryosophila kalbreyeri;(Dammer ex Burret) Dahlgren
Vismia guianensis;Vismia guianensis (Aubl.) DC.;7330275;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Hypericaceae;Vismia;Vismia guianensis;Vismia guianensis;(Aubl.) DC.
Euphorbia aphylla;Euphorbia aphylla Brouss. ex Willd.;3069165;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia aphylla;Euphorbia aphylla;Brouss. ex Willd.
Phyllostachys aurea;Phyllostachys aurea (André) Rivière & C.Rivière;5290167;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Phyllostachys;Phyllostachys aurea;Phyllostachys aurea;(André) Rivière & C.Rivière
Elaeagnus angustifolia;Elaeagnus angustifolia L.;3039269;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Elaeagnaceae;Elaeagnus;Elaeagnus angustifolia;Elaeagnus angustifolia;L.
Psidium guajava;Psidium guajava L.;5420380;EXACT;99;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Myrtaceae;Psidium;Psidium guajava;Psidium guajava;L.
Breynia nivosa;Breynia nivosa (W.Bull) Small;5383032;EXACT;98;SYNONYM;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Breynia;Breynia disticha;Breynia nivosa;(W.Bull) Small
Licuala grandis;Licuala grandis (T.Moore) H.Wendl.;8008690;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Licuala;Licuala grandis;Licuala grandis;(T.Moore) H.Wendl.
