"nombre_tecnico";"nombre_comun";"num_ejemplares"
"Caesalpinia peltophoroides";"Acacia robinia";25344
"Dypsis lutescens";"Palma areca";18981
"Swinglea glutinosa";"Limon swinglea, Swinglea";17166
"Ficus benjamina";"Ficus benjamina, Caucho benjamin";12075
"Mangifera indica";"Mango";11770
"Caesalpinia ebano";"Ebano, Ebano costeno";9566
"Terminalia catappa";"Almendro";9510
"Pithecellobium dulce";"Chiminango";9469
"Tabebuia rosea";"Guayacan rosado";9301
"Leucaena leucocephala";"Leucaena";7313
"Adonidia merrillii";"Palma manila, Palma navidad";6667
"Roystonea regia";"Palma real de Cuba";6524
"Albizia saman";"Saman, Genizaro";6506
"Spathodea campanulata";"Tulipan africano";4805
"Annona muricata";"Guanabano";4062
"Platycladus orientalis";"Pino tuya, Pino libro";3875
"Roystonea oleracea";"Palma botella, Palma imperial, Mapora";3656
"Guazuma ulmifolia";"Guacimo";3446
"Persea americana";"Aguacate";3346
"Melicoccus bijugatus";"Mamoncillo";3223
"Araucaria excelsa";"Araucaria";3148
"Handroanthus chrysanthus";"Guayacan amarillo, Chicala";3025
"Dracaena fragrans";"Dracaena roja, Tronco de la felicidad";2966
"Jacaranda caucana";"Gualanday";2964
"Cascabela thevetia";"Cojon de cabrito, Pepa de cabra, Enebro";2809
"Citrus lemon";"Limon";2553
"Citrus aurantium";"Naranjo";2474
"Clitoria fairchildiana";"Sauce Costeno, Bohio";2276
"Senna siamea";"Acacia amarilla, Acacia siamea";2225
"Psidium guajava";"Guayabo";2050
"Murraya paniculata";"Cerezo, Mirto, Azahar";1994
"Elaeis guineensis";"Palma africana";1966
"Geoffroea spinosa";"Ebano";1963
"Cocos nucifera";"Palma de coco";1956
"Hibiscus rosa-sinensis";"Resucitado";1929
"Delonix regia";"Acacia roja, Flamboyan";1778
"Cananga odorata";"Cadmio, Cananga";1734
"Morinda citrifolia";"Noni";1732
"Schefflera actinophylla";"Cheflera";1574
"Crescentia cujete";"Totumo, Mate, Calabazo";1513
"Citrus reticulata";"Mandarina";1490
"Senna spectabilis";"Floramarillo, Velero, Vainillo";1482
"Chamaecyparis pisifera";"Cipres abanico, Pino libro";1461
"Myrcia selloi";"Arrayan cerezo";1379
"Catalpa longissima";"Catalpa, Crispeta";1336
"Bougainvillea glabra";"Veranera";1284
"Cassia fistula";"Chorro de oro, Lluvia de oro";1275
"Ceiba pentandra";"Ceiba, Ceiba bruja, Ceiba de lana, Bonga";1147
"Blighia sapida";"Seso, Bien me sabe";1101
"Sapindus saponaria";"Chambimbe, Jaboncillo";1082
"Yucca filifera";"Palma de yuca";1048
"Dypsis madagascariensis";"Palma de Madagascar, Palma de anillos";973
"Pritchardia pacifica";"Palma abanico, Palma de Fiji";959
"Washingtonia filifera";"Palma Washingtonia";925
"Syzygium malaccense";"Pera de Malaca";886
"Caesalpinia pulcherrima";"Clavellino, Mariposa";882
"Licania tomentosa";"Oiti";881
"Phoenix roebelenii";"Palma Robeleni";850
"Bulnesia carrapo";"Guayacan carrapo";822
"Albizia guachapele";"Igua";804
"Pachira insignes";"Castano";786
"Calliandra pittieri";"Carbonero";784
"Pimenta racemosa";"Aceituno, Malagueto";780
"Lagerstroemia speciosa";"Flor de la reina";749
"Bauhinia variegata";"Casco de vaca blanco";746
"Plumeria alba";"Amancayo, Blanco, Azuceno";742
"Erythroxylum coca";"Coca";741
"Peltophorum pterocarpum";"Acacia negra, Acacia ferruginea";703
"Trichanthera gigantea";"Nacedero, Madre de agua";695
"Bauhinia purpurea";"Casco de vaca";641
"Syagrus sancona";"Palma Sancona";638
"Ficus variegata";"Ficus variegado";628
"Couroupita guianensis";"Bala de canon, Macaco,  Bola de Canon, Castano";614
"Brunfelsia uniflora";"Francesina";598
"Erythrina poeppigiana";"Cachimbo, Pisamo, Bucaro";574
"Ficus elastica";"Caucho, Caucho de la India";550
"Nerium oleander";"Habano, Azuceno, Habano rosado";547
"Simarouba amara";"Amargo, Palo blanco";537
"Enterolobium cyclocarpum";"Orejero, Pinon de oreja";537
"Pachira speciosa";"Cacao de monte, Sapotolongo, Castano silvestre, Zapote costeno";532
"Guarea guidonia";"Trompillo, Bilibil, Cedro macho";530
"Guaiacum officinale";"Guayacan, Guayaco";527
"Cupressus lusitanica";"Cipres";514
"Gliricidia sepium";"Matarraton";513
"Syzygium jambos";"Pomarroso";513
"Duranta erecta";"Garvanzo, Duranta";512
"Codiaeum variegatum";"Croton ornamental, Croton sangregado";512
"Polyscias scutellaria";"Millonaria, Crispa";482
"Thespesia populnea";"Clemon, Algodon de arbol";450
"Plumeria pudica";"Plumeria, Amapola blanca, amancayo, Ramo de Novia";435
"Annona squamosa";"Anon";433
"Cordia alliodora";"Nogal cafetero, Moho";406
"Dracaena deremensis";"Dracena dereminsis";398
"Cestrum nocturnum";"Jazmin de noche, Caballero de la noche";383
"Artocarpus communis";"Arbol del pan";383
"Mussaenda erythrophylla";"Musaenda";381
"Inga edulis";"Guamo rabo de mico, Guamo churimo";381
"Cedrela odorata";"Cedro rosado";379
"Zanthoxylum rhoifolium";"Tachuelo";374
"Syzygium cumini";"Aceituna, Maria Eugenia, Jambolan";362
"Erythrina variegata";"Caraqueno, Eritrina variegada, Chocho ornamental, Cambulo";362
"Fraxinus chinensis";"Urapan";359
"Caryota mitis";"Palma cola de pescado";332
"Plumeria rubra";"Amancayo rojo, Amancayo de flor roja";327
"Bucida buceras";"Olivo negro, Ucar, Bucaro";327
