scientificName
Terminalia catappa
Lacistema aggregatum
Oenocarpus bataua
Schefflera arboricola
Miconia lingustrina
Gossypium barbadense
Eugenia stipitata
Dracaena deremensis
Yucca arborescens
Euphorbia pulcherrima
Cryosophila kalbreyeri
Vismia guianensis
Euphorbia aphylla
Phyllostachys aurea
Elaeagnus angustifolia
Psidium guajava
Breynia nivosa
Licuala grandis
Chlorocardium rodiei
Solanum verbascifolium
Didymopanax morototoni
Brunfelsia latifolia
Billia columbiana
Plumeria cutinifolia
Handroanthus chrysanthus
Ficus insipida
Bismarckia nobilis
Bursera tomentosa
Grevillea rosmarinifolia
Tabebuia roseoalba
Cassia fistula
Phoenix roebelenii
Ceiba pentandra
Caesalpinia pulcherrima
Mimosa pigra
Pyracantha coccinea
Citrus medica
Eucalyptus deglupta
Ficus microcarpa
Tabernaemontana litoralis
Gliricidia sepium
Hibiscus rosa-sinensis
Citharexylum subflavescens
Papaver somniferum
Trema micrantha
Cupressus macrocarpa
Yucca filifera
Bactris gasipaes
Ficus palmirana
Bixa orellana
Lagerstroemia speciosa
Caryota urens
Chamaecyparis pisifera
Dalbergia retusa
Machaerium capote
Tulbaghia violacea
Hibiscus elatus
Cinnamomum zeylanicum
Andira inermis
Crateva tapia
Tessaria integrifolia
Pseudolmedia laevigata
Acrocomia aculeata
Dracaena reflexa
Cassia grandis
Megaskepasma erythrochlamys
Brunellia comocladifolia
Callistemon citrinus
Gmelina arborea
Bunchosia argentea
Schefflera actinophylla
Citrus mitis
Achatocarpus nigricans
Erythroxylum coca
Ficus glabrata
Ficus decora
Bambusa vulgaris
Morinda citrifolia
Cupressus lusitanica
Euphorbia cotinifolia
Caesalpinia pluviosa
Anacardium excelsum
Jacaranda copaia
Amaranthus caudatus
Terminalia amazonica
Parkinsonia aculeata
Spathodea campanulata
Burugmancia arborea
Elaeis oleifera
Coffea arabica
Wodyetia bifurcata
Ficus elongata
Citrus aurantium
Malpighia emarginata
Xylopia aromatica
Plumeria rubra
Leucaena magnifica
Annona squamosa
Cespedesia spathulata
Miconia squamulosa
Jasminum oliganthum
Mangifera indica
Artocarpus communis
Syagrus sancona
Clusia multiflora
Senna polyphylla
Adenium sp
Tectona grandis
Tabebuia rosea
Sabal palmetto
Geoffroea spinosa
Macadamia integrifolia
Lonicera caprifolium
Persea americana
Eucalyptus grandis
Acacia melanoxylon
Olea europaea
Bunchosia armeniaca
Triphasia trifolia
Polyscias guilfoylei
Solanum americanum
Acasia mangium
Gardenia jasminoides
Genipa americana
Ceiba speciosa
Bougainvillea
Sabal mauritiforms
Inga edulis
Duranta aurea
Leythis tuyarana
Adonidia merrillii
Tabernaemontana persicariifolia
Cananga sp
Ficus goldmannii
Acalypha achimenes
Prunus domestica
Citrus reticulata
Phyllanthus acuminatus
Trichilia pallida
Ficus variegata
Vitex cymosa
Swinglea glutinosa
Pouteria caimito
Mammea americana
Ahouai nitida
Ptychosperma macarthurii
Inga spectabilis
Solanum macranthum
Himatanthus articulatus
Adenanthera pavonina
Jatropha curcas
Cordia alliodora
Lafoensia punicifolia
Platysmicium pinnatum
Brugmansia arborea
Pithecellobium dulce
Syagrus romanzoffiana
Dypsis decaryi
Simarouba amara
Triplaris americana
Ficus pertusa
Dracaena draco
Litchi chinensis
Casearia corymbosa
Azadirachta indica
Arce nigrun
Plinia cauliflora
Posoqueria longiflora
Platypodium elegans
Acalypha wilkesiana
Flacourtia indica
Salix babylonica
Ficus benghalensis
Caesalpinia ebano
Jatropha multifida
Carludovica palmata
Kigelia africana
Pseudobombax septenatum
Chrysobalanus icaco
Myrsine guianensis
Melaleuca quinquenervia
Guarea guidonia
Cecropia obtusifolia
Eugenia uniflora
Albizia carbonaria
Erythrina poeppigiana
Dracaena sanderiana
Melia azedarach
Clitoria fairchildiana
Thespesia populnea
Cordia tetrandra
Grevillea robusta
Albizia saman
Jacaranda caucana
Croton gossypiifolius
Sterculia apetala
Ficus binnendijkii
Eugenia pyriformis
Fraxinus americana
Jatropha integerrima
Quararibea cordata
Chrysophyllum cainito
Syzygium malaccense
Ricinus communis
Zanthoxylum rhoifolium
Cordyline fruticosa
Cassia javanica
Ficus carica
Laetia acuminata
Gardenia grandiflora
Senna siamea
Swietenia macrophylla
Cnidoscolus aconitifolius
Erythrina rubrinervia
Jobo
Plumeria pudica
Hamelia patens
Annona glabra
Veitchia montgomeriana
Lysiloma latisiliquum
Peltogyne paniculata
Livistona chinensis
Platycladus orientalis
Cordia sebestena
Ormosia velutina
Bougainvillea glabra
Thevetia peruviana
Simaba cedron
Matayba elegans
Photinia xfraseri
Ficus cyathistipula
Posoqueria latifolia
Magnolia delavayi
Annona reticulata
Cordia lutea
Acalypha amentacea
Averrhoa carambola
Terminalia amazonia
Senna reticulata
Hamamelis mollis
Cupania americana
Bursera simaruba
Polyscias scutellaria
Cedrela odorata
Senna mexicana
Persea caerulea
Spondias mombin
Ficus elastica
Annona cherimola
Palicuria sp
Ficus rubiginosa
Gynerium sagittatum
Roystonea oleracea
Peltophorum pterocarpum
Cananga odorata
Caryota mitis
Cycas revoluta
Ficus dendrocida
miconia squamulosa
Pimenta racemosa
Casuarina equisetifolia
Euterpe cuatrecasana
Pandanus utilis
Dypsis lutescens
Rollinia mucosa
Crescentia cujete
Citrus sinensis
Ficus tolimensi
Miconia chlorocarpa
Citrus lemon
Pinus radiata
Mimosa quitensis
Delonix regia
Tabebuia heterophylla
Couroupita guianensis
Gustavia speciosa
Caesalpinia peltophoroides
Phyllanthus acidus
Piper aduncum
Euterpe precatoria
Santalum album
Euphorbia milii
Trichanthera gigantea
Murraya paniculata
Pinus patula
Eucalyptus camaldulensis
Sapindus saponaria
Cocos nucifera
Melicoccus bijugatus
Psidium friedrichsthalianum
Sambucus nigra
Coccoloba uvifera
Elaeis guineensis
Catalpa longissima
Ochna thomasiana
Luma apiculata
Baccharis sp
Areca catechu
Senna pistaciifolia
Annona muricata
Syzygium jambos
Calliandra purdiei
Ficus religiosa
Albizia julibrissin
Ficus benjamina
Tamarindus indica
Theobroma cacao
Triplaris weigeltiana
Guaiacum officinale
Calliandra schultzei
Senna spectabilis
Miconia spicellata
